timestamp,trip_id,datum,stop_id,stop_name,planned_time,actual_time,delay_minutes
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900003201,Berlin Hbf,07:27:00,07:27:00,0
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900003102,S Bellevue,07:29:00,07:30:00,1
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900003103,S Tiergarten,07:31:00,07:32:00,1
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900023201,S+U Zoologischer Garten,07:33:00,07:34:00,1
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900024203,Savignyplatz,07:35:00,07:36:00,1
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900024101,S Charlottenburg Bhf,07:37:00,07:38:00,1
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900024102,S Westkreuz,07:40:00,07:40:00,0
2026-01-15T07:48:51.900543+01:00,1|2669|4|86|15012026,2026-01-15,900048101,Grunewald,07:43:00,07:43:00,0
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900230999,Potsdam Hbf,06:51:00,06:52:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900230000,Babelsberg,06:54:00,06:55:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900230003,Griebnitzsee Bhf,06:57:00,06:58:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900053301,Wannsee Bhf,07:02:00,07:03:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900052201,Nikolassee,07:05:00,07:05:00,0
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900048101,Grunewald,07:12:00,07:12:00,0
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900024102,S Westkreuz,07:15:00,07:15:00,0
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900024101,S Charlottenburg Bhf,07:17:00,07:18:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900024203,Savignyplatz,07:19:00,07:19:00,0
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900023201,S+U Zoologischer Garten,07:21:00,07:22:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900003103,S Tiergarten,07:23:00,07:24:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900003102,S Bellevue,07:25:00,07:26:00,1
2026-01-15T07:48:51.900543+01:00,1|2960|5|86|15012026,2026-01-15,900003201,Berlin Hbf,07:28:00,07:28:00,0
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900003201,Berlin Hbf,07:37:00,07:37:00,0
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900003102,S Bellevue,07:39:00,07:40:00,1
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900003103,S Tiergarten,07:41:00,07:42:00,1
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900023201,S+U Zoologischer Garten,07:43:00,07:44:00,1
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900024203,Savignyplatz,07:45:00,07:46:00,1
2026-01-15T07:48:51.900543+01:00,1|2671|1|86|15012026,2026-01-15,900024101,S Charlottenburg Bhf,07:47:00,07:48:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900230999,Potsdam Hbf,07:01:00,07:02:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900230000,Babelsberg,07:04:00,07:04:00,0
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900230003,Griebnitzsee Bhf,07:07:00,07:08:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900053301,Wannsee Bhf,07:12:00,07:14:00,2
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900052201,Nikolassee,07:15:00,07:16:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900048101,Grunewald,07:22:00,07:23:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900024102,S Westkreuz,07:25:00,07:26:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900024101,S Charlottenburg Bhf,07:27:00,07:29:00,2
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900024203,Savignyplatz,07:29:00,07:30:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900023201,S+U Zoologischer Garten,07:31:00,07:32:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900003103,S Tiergarten,07:33:00,07:34:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900003102,S Bellevue,07:35:00,07:36:00,1
2026-01-15T07:48:51.900543+01:00,1|2702|0|86|15012026,2026-01-15,900003201,Berlin Hbf,07:38:00,07:39:00,1
2026-01-15T07:48:51.900543+01:00,1|2670|0|86|15012026,2026-01-15,900003201,Berlin Hbf,07:47:00,07:47:00,0
